您要办理的那个地址哪里报一下 十七号省军区第六感觉吗稍等一下七 
诶你好我想请问现在有什么套餐啊 您呃我现在有没十八块钱这样子套餐啊 
嗯您好我想问一下我那个套餐里面的手机视频定向流量怎么用啊 那也就是说我就一直是等于说是使用不了了是吧那我现在 
哎喂你好我想问一下我这个手机号码是办的那个九十九的那个移动套餐就是宽带的 就是我打过来还是未知的呀 
你好我想问一下现在有什么套餐流量多一点 那我这个有宽带不能重新办套餐吗 
哎你好诶您好呃我现在这个流量有没有什么流量套餐流量多的 一百三十啊一百三十八这个在本地 
喂你好我想问一下现在流量那个有什么套餐啊 那没那个幺三八的我们也不是说有一个什么五块钱然后是一百兆流量的吗 
你好请问有什么流量包吗 对 
诶你好现在有什么额那个流量套餐呐 对啊我现在有现在什么状态 
呃我想我我想找一下那个那个流量加油包 呃有没有再多一点的 
这个我问一下我现在这个那我加流量那现在有什么有没有解决哪个块钱流量比较便宜 四 
你好诶我想咨询一下这个三八套餐是到底是怎么通话分钟数是什么使用的 嗯 
诶然后外面那个套餐就是那个飞享套餐什么意思啊 我知道了就说我们原先那个就的话自动转成新还是什么原因 
喂诶你好那个请问一下那个二零一七年不是有一个那个什么宽带八十八元然后五g流量是不是 嗯嗯你帮我开通一下 
喂你好 我就是现在就是咨询一下那个移动了现在有没有什么套餐是那种流量比较多的费用 
吧您好很高兴为您服务喂你好我想要问一下我这个号码它那个呃流量就是那个套餐是多少呢 呃我是想要说我这五百兆跟我用我现在还不知道一个月我就已经用完了之后想换一下套餐 
呃如果现在办宽带的话有什么套餐吗 只有这个想 
行有什么流量包啊就就流量不够了 对对对 
我想问一下你们是不是有一天一块钱五百兆流量的 噢换卡不行吗应该换号码吧 
诶你好那个请问一下那个停机保号的那边要是打打这个号码的话比如说我现在停机保号别人打这个号码的话就直接直接提示几十元是直接说停机吗 就这什么都没有这停机是吗 
哦我就是问一下我这个流量不够用如果是它们不是说有那个什么应该可以买几兆那个流量吗 就说当天用的流量有没有啊 
诶你好现在有什么套餐嗯流量流量费有有少一点费用吧 噢这是宁德地区那个流量流量随便用是吧 
哎你好哎您想我 对 
哎我就想问一下我这个手机那个流量套餐那边有一个服务区流量这个g的是什么呢过去流量还是两g 联系多少不大这边只能在校园区我在市区这边都不能用那个 
你好我咨询一下那个我这个开通那个八元的什么套餐啊 其实都八元套餐对对噢像其他其他呃哎其它还有开通什么没有了吧噢 
诶您好麻烦帮我呃你现在全国通用的流量包的哪些优惠的 呃 
哎你好 那个流量套餐 
喂你好诶请讲有什么你帮我诶你好你帮我现在看看是我现在里面除了就是说呃还有什么附加功能没有帮我看一下好吧做出验证码是这个 噢就是说除了正常是说那个短信的什么什么还有流二十彩铃我这个我知道这个套餐里面都包在里面的是不是 
我忘啊喂你好你好诶我想问一下现在有没有什么流量套餐呐 噢不用那么多不用那么大把小妹 
喂你好 那个我想请问一下这边移动有那个五十元流量套餐 
诶你好麻烦你帮我看一下就是说有一个套餐有没有促销的是八十八元套餐呃行有那个五g的 还有呢一千二百二百分钟的那个话费呃那个电话幺有那如果我我这个月就是说根据下个月生效是不是啊 
诶你好帮我看下有什么流量加油包的 十块钱就一百兆嘛对那没有别的吗 
呃喂您好我我是这样子我刚才打的也是人工台就是说我要那个什么流量啊他给我推荐了一个什么今天有优惠十三块八毛你好好像十三块八毛多嘛然后四百六十兆的嘛是吗 噢这样子好谢谢谢谢我就收到短信说什么是三十块的 
谁说完了呢 就是说喂 
呃喂你好 嗯嗯嗯我我想换一下套餐有什么就是比较划算的套餐里边元 
我想问一下什么套餐是流量有几个g啊 对 
诶您好我这个手机号你们移动是不是有一个什么流量不限量八十八块的套餐呢 那那那那我这种我这种我现在流量比较多一点的有什么适合的套餐 
那个不是有一个什么幺三八的套餐 啊那个套餐是无限流量的是吗 
喂 喂你好诶我想我想问一下你们现在有一个套餐是不是八十八元的套餐有送一百二十分钟还有五g流量的有没有情况 
有没有那个三十八元的那个呃三百分钟然后一点五g的那个套餐啊有这个套餐不过它是办不了的为什么 噢从第一网是吧 
帮我查一下我的手机这里面一直给我这样一个行吧那个什么安心流量包意思 诶 
嗯请问一下这个移动套餐有没有九十九块一个一百块之类的 就是这个什么意思 
嗯帮我看一下有没那种三十八套餐有一点五g流量的那种的 对就帮我改一下哈 
诶你好 现在我我我想问一下哈现在有没有什么套餐流量比较多的流量比较大的国内流量噢不是省内流量 
你好我想问一下我那个手机套餐里面成夜间流量套餐 有没有赠送的夜间流量我这个当时好像这些业务 
诶那那流流量包有什么样的 你跟我说一下 
诶你好我想问一下现在就是 刚才我那边你你你你你目前是三十三十块钱的套餐然后他说你要再上一个档次的话就是五十块钱的套餐我 
对呀 呃就是它为什么八十八那个无限流量套餐八个月为什么 
喂你好 诶我想咨询一下我这个套餐的那个那个呃流量是多少 
你好请好心或或者是情况喂你好哎你好我想请问一下我这个暂时包括刚刚呃刚刚那个刚办的吧就是它那个是里面是什么就是分钟还有流量是多少的 哎呃 
哎你帮我查一下我这个流量用的什么样的 噢就是包包我包那个六十元的是不是啊对噢那那假如说我这个还有半个月那那还要包什么 
哦行 喂 
哇那个我我现在这个流量都帮我看一下我那个还有没什么流量套餐可以开了 只能开这个没有别的吗 
喂你好你我想咨询一下你们移动现在有没有一个幺三八套餐的那个流量无线的流量这个 啊 
哎你好诶我想问一下那个诶诶那个流量套餐有没有就是呃比较优惠一点的 诶就是呃之前不是有个二十元二十g那种啊 
可以 问一下那个现在什么流量优惠套餐 
我想问一下就是说我那个套餐是五十八块的里面不是有三百分钟 呃本地打国内的三百分钟是吗 
哎你好我发现我这个手机每个月都有个什么四g一g数据套餐五十块那是什么东西啊 那你那个可以帮我取消掉吗 
您好请问是新装宽带吗喂你好我想问一下那个宽带的有就是想办宽带然后都有哪些 呃对或者是呃就是我是想要办那种整年的不是一个一个月这样算的 
诶您好我想问一下现在有什么那个流量套餐吗 呃不是这样子就是说一个月的 
哎你好我想问一下我这个套餐里面有一个说什么跨集团微醺限额可选包七十六档这个是什么 那我是这个是互达楼上里面有三百分钟是吗 
你好 现在有什么那个流量的最优惠的是什么流量现在有六十块钱的 
就是新飞享五八套餐二零一七版的 噢对然后里面有一个什么每月赠送省内数据流量二点五g的然后本本地拨打国内那个电话三百分钟每月赠送是送到什么时候是一年还是 
噢 啊诶我想问一下我这手机套餐一个月流量到底有多少 
喂你好请问一下你帮我看看一下这个是这张卡是怎么用的 噢一天一g就是还有三十分钟免费的是不是 
喂你好啊我刚刚收到一个幺零零八六的幺那个短信是什么我开通什么什么了 我不需要帮我取消了吧 
嗯嗯 啊你好我想问一下这个我们这边移动的手机号码现在还有没有就是赠送那个嗯无线的那个wifi 
好的你好呃有没有那个临时的那个流量包一个月 呃是多少钱的月末用 
啊我我唉呀祝您有没有什么就是是流量包比较划算的 三十块也可以 
没有喂你好 诶你好 
啊就是那个我想问一下有没有那种嗯套餐之内的就是可以三就是打电话可以便宜 呃经常打电话您都是在 
呃喂您好那个国内的流量帮我买七十块钱是多少兆啊 那就帮我买二十块八 
你好 嗯请问一百三十八的套餐是是是是哪几项呢呃 
噢我想问一下那个流量没有了要保底流量用什么样的有什么优惠 嗯六十块多 
诶不显示有宽带泉州又发个短信什么呃套餐可以不变呃分钟数一千二百分钟对 什么一千二百分钟是吧 
诶你好我想问一下最近啊有没有什么那个关于流量的套餐用了优惠的套餐 半年内都有效的吗 
诶请问一下我这个这个月打电话多少怎么好像强队不超出了 二四 
哎你好我咨询一下那个是不是有个什么八十八块钱那个一个月五g的流量啊 呃我本机给我办理一下 
诶你看一下我的手机的流量没有人看看有没什么流流量包买吗 我好像我买我买了一个六g的流量包用完 
诶我想问一下就是现在有没有什么什么三十八转五十八那个什么套餐还送那个什么三个g的流量 就可以更改到这五十八块钱套餐是八十八的话您就更改 
