诶 你好 我 问 一下 我 这个 号码 的话 办理 宽带 的话 怎么 个 办理   嗯
呃 我 一个 宽带 去 就是 要 要 叫 我 续约   唉 对   我 我 我 我 这 里面 没有 续约 的 那么 我 我 到 营业厅 去 办过 没有 包是 吗
哎 你好 我 想 问 一下 那个 一百二十元 的 宽带 怎么 申请 的   就是说 你们 这边 不是 一年 一百二 吗 这个 宽带   呃 宝山区 的
等 一下 我 是 在 现在 在 宁波 吗 我 说 你们 这边 宽带 怎么 办理   噢 能 转 一下 吗   噢 就是 先六 幺 七号 幺 幺 零零 八六是 吧
啊 你好 我 想 请问 一下 就是 本地 的 那个 电话号码 手机号 然后 想 呃 呃 报 现在 又 要 怎么 办理   啊 不好意思 您 再说 一遍   啊 是 这样 他 是 有 手机号 的 手机 最低 消费 它 是 一百五十 八 的 手机 不 就是 可以 直接 免费 办 的 吗
唉 你好 呃 我 我 现在 网上 自己 嗯 你们 发给 我 的 那个 电子 发票 当然 它 是 没有 纳税人 识别 号 的 呃 我 是 怎么 添加 呢   那 我 现在 需要 开 呃 就是 带有 纳税人 识别 号 的 是 怎么 怎么 做 呃 我们 这边 是 这样 的 我们 可以 帮 您 把 纳税人 识别 号 加上 去   噢 那 怎么 加 呢
我 这个 号码 是 上海 的 号码 我 现在 在 外面 在 外地 的话 我 就 这个 号码 不想 让 我 怎么弄 呢   对 对 对   呃 外地 销 不了 是 吧
喂 你好 我 这边 想 咨询 一下 就是 呃 单位 想办 那个 集团 号 是 怎样 办理 的   对 的   好 是 呃 公司 名称 还是 什么
喂喂 我 我 的 手机卡 丢 了 怎么办   就是 挂失 她 说 不 挂失 重新 补 一个月 还有 用 吗 可以 听到 如果 如果 我 不 挂失 重新 再 补 一张 另外 那个 卡 还有 用 吗   就是 如果说 我 不 挂失 的话 就是 呃 我 直接 就 补 一张 卡 另外 那个 卡 还有 用 吗 一直
喂 你好 我 想 请问 一下 现在 那个 就是说 这个 手机 的 这个 现在 这个 话费 账单 不是 纸质 账单 吗 上网 可以 直接 打印 的 吗 我 现在 这个 发票 正常 在 哪个 地方 呀 对   呃 需要 对 我 已经   知道
请问 一下 你 这个 小叫 魔卡 是 怎么 办理   呃 那个 流量 是 怎么 用 呢   呃国 国内 流量 出来 流量 是 怎么
喂 你好   呃 我 想 咨询 一下 我 有 我 另外 一部 手机 上 那个 就是 呃 流量 有 一个 呃 呃 就是 一个 小孩 我 想 你 把 那个 流量 那个 完 了 那个 就是 那个 操作 流量 那么 这个 怎么 退费   幺 三九
唉 你好 我 想 问 一下 就是 我 我 在 那个 就是 你们 移动 的 嗯 官 网上 订 了 一张 那个 就是 小 摩擦 那个 卡 但是 我卡 收到 之后 然后 昨天 激活 结果 他 给我发 个 短信 说 我 九十天 什么 有 一张 卡 激活 过 然后 那 我 那 身份证 到 那个 那个 什么 营业厅 去 那个 是 什么 什么 意思 啊 那种   嗯 是 我 在 上 上上个月 吧 办 了 一个 那个 嗯 全球通 的 那种   哎 额外
先生 你好 我 想 问 一下 就是 我 的 移动 公司 刚买 了 一个 那个   就是 营业厅 就是 现在   也 一一 百兆 能 听到 了
呃 你好 我 就是 手机 被 偷 了 如果 要 呃 停 这个 号 的话 要 怎么 怎么 做 就   那个 号码 应该 没有 把 你 给 的 活动 是   幺 三五 零
喂 你好   我 想 问 一下 我 这个 pos 机是 充 点卡 怎么 冲 流量 呢
您好 很 高兴 服务 哎 我 想 问 一下 我 这个 不是 卡 的 好 哎 他 那个 这个 电话费 跟 他 说 流量 是 怎么 查 啊   幺 零 九 幺 是 吧   噢 谢谢 啊
为您服务   你好 是 这样 的 我 想 咨询 一下 就是 因为 我 那个 就是 有 工商银行 给我发 那种 比如说 改动 这样 的 交易 明细 收 短信 吗 我 就是 收不到 然后 那个 我 想 确认 一下 是不是 是 说 我 不 担心 做过 那种 那 自己 取消   服务
唉 你好 刚才 我 打 你们 幺 零零 八六 全国 办张 银行卡 他 是 把 地址 发给 我 手机 上 现在 没 办法   不是 上海 的 那种 两个 营业厅 可以 办 那个 在 外地 号码   对 因为 我 我 不 知道 具体 在 哪边 把 那个 地址 发 我 手机 上面 不 就行了 吗 好 的 手机号码 那 我 这边 就 先 发到 您 手机 上
喂   你好 你好 谢谢 呃 我 想 我 想 问 一下 我 应该 是 怎么 改 的 你 告诉 我   喂
对 啊   喂 你好 我 我 我 想 请问 一下 因为 我 那个 有 有线通 嘛 我 我 想 这 宽带 我 想 退掉 他 现在 它 我 要 呃 百在 这 怎么 去 退 呀   嗯 嗯 东方 有线
喂 你好 你好 我 想 那个 把 这个 套餐 里面 的 流量 怎么 增加 的话 要 改 套餐 是   六十 八块钱 的话 是 两个 g 的 流量 是 吧   它 就是 三天 还 生效 还是 下个月 是不是
喂 你好 我 我 这个 就是 我 想 问 一下 我 这个 卡号 流量 怎么弄 呀   对 就 这个 报错 吗
我 问 一下 我 那个 和 那个 积分换 那个 流量   对 对
嗯 喂 您好 很 高兴 为您服务 唉 你好 就是 我 想 那个 我 这边 有 一个 集团 扣 就是 那个 宽带 我 现在 不想 用 的 是 注销 流程 是 多少   只能 到 客户经理 这边 办 吗   噢 好 的 到 营业厅 可以 直接 去 吧
喂 你好 我 想 问 一下 那个 呃 就是 如果 我 到 泰国 去 大概 八天 吧   然后 那个 我 开通 那个 国际漫游 可以 的 是 吧   呃 就是 是 他 那个 他 收费 怎么 收 的 所以 我 觉得
嗯 嗯 你好 我 想 问 一下 这个 现在 这个 移动 数据 流量 是 怎么办 的 呀   叠加 的 叠加 这种   上个月
喂 唉 你好 你好 我 这边 是 呃 浦江镇 的 勇 送 六 然后 我 想 安装 宽带 业务 请问 怎么 安装 吗   在 闵行区   有 送路 四五 五弄 十号 路
喂 你好 我 是 那个 微信 充值 以后 我 想要 一下 发票 怎么 要 啊   啊 好   嗯 不 知道
您好 很 高兴 为您服务 小姐 帮 我查 一下 我 这个 手机 继续 来 月 收 的 这个 哪个 号码 您 报 一下   嗯 嗯   啊 好 的
嗯 你 给 我查 一个 什么 名字   我 不开 的 幺 三九 嗯 嗯 零 幺 六二 四四二 幺 二   密码 不 知道
唉 你好 看到 泰国 这个 流量 包 怎么弄   那 这边 是   是 那个 里边 的话
喂 你好 哦 是 这样 的 就是 我 手机 之前 办理 的 是 一百零八 块钱 每个 月 那个 套餐 然后 这个 套餐 它 是 有 那个 宽带 的 嗯 嗯 是 这样 的 然后 我 现在 是 但是 另外 一个 地方 住 然后 之前 我 那个 宽带 怎么 一到 现在 住 的 地方 呢   噢 行 了 还有 一个 我们 开始 转过 去 但是 那边 一直 没有 人接 是 吗   唉行 那 好 的 好 的
喂 你好 我 问 一下 我 那个 手机 那个 集团 到 了 四千多 换 那个 流换 那个 完 这 积分 吗 两千五百 换 三十块 钱 嘛   我 怎么 兑换 呀   嗯 嗯 我 知道 我 再 问 一下 我 这个 四千多 分能 换 什么
喂 你好 我 是 我 想 那个 消费 一点 八一 三 八八 一百零八 块钱 是 吧 然后 东方 的   问题 吗 这个 是 你 自己 上门来 还是 我 营业厅 办理 的   这些 吗 的 要 登
按 您 的 宽带 业务 对 不 对   呃 我 刚刚 已经 操作 了 对 然后 就是说 呃 就是 在 同一个 地址 装 了 一个 宽带 然后 现在 要 销户 因为 移动 的话 不好 意 就 把 它 移机 的话 不太好 以 我 这边 也 不 需要 一 现在 就是说 我 如果 做 销户 的话 是 怎么 处理 我报 一下 话费 吗 幺 五零   二 幺 二五
哎 你好 我 想 咨询 一下 吧 就是 我 手机 那个 办理 的 这个 宽带 业务 怎么 怎么弄   我 不 知道 因为 我 这个 手机 原来 是 有 那个 家庭 套餐 的 嘛 因为 它 显示 有 签 协议 的 然后 我 不 知道 这个 套餐 业务 是 可以 叠加 的 呢 还是 要 我 等 我 这个 业务 结束 了 才能 签 那个   谁 的 就 行 那 我 现在 的话 我 家庭 的 如果 是 我 也 不 知道 我
唉 你好 呃 呃 嗯 小姐 我 想 请教 一下 我 这边 有 一个 手机号码 是 公司 的 一个 一个 呃 号码 就是 我们 老板 用 的 她 人 在 美国 现在 他 要 开通 一个 国际漫游 那 我 怎么 做 呀   呃 有 他 的 密码 吗 你 要 一下 密码 和 这个 我 知道 哎 幺 三五 零   幺 七六 九 幺 五九
唉 小姐 你好 我 想 问 一下 我 手机 充值 了 话费 两百元 怎么 能 达到 发票 呢   对   我 以前 在 单位 电脑 上 好像 是 打印 过 但是 我 不 知道 是不是 开 通过
那能 不能 改成 三十八 六   啊 喂 你好 就是 我 想 把 我 套餐 改 怎么办 呢   包 套餐 加 三十八 的
唉 你好 那个 我 取消 一个 那个 业务 我能 不 知道 在 哪里 取消   一个 什么 增值 增值 业务   啊
喂 你好 那个 我 真的 在 的话 我 这个 有 一个 什么 宽带 魔百盒   魔百盒 我 现在 是 不用 的 十二 室 是 怎么 处理 呢   对 啊
喂 你好 我 想 问 一下 就是 我 现在 那个 套餐 里面 一个 这个 啊 嗯 嗯 自己 买 的 那个 每个 月 通用 流量 和 那个 漫游 一百六十 块钱 六 g 的 那个 半年 包嘛 这 两个 我 都 是 可以 分享 给 其他 号码 在 哪个 单位 申请   呃 哪个 些 什么   哪个 先 到期 哪个 兄弟 肯定 是
唉 你好 是 这样 的 因为 我 现在 的 这个 号码 打算 去 都 不用 了 我 稍后 怎么 处理   噢 今天 的话 是 注销 当场 密码 就行 就是 不用   噢 好 的 好 的 好 的 就 主要 是 那个 附近 的 营业厅 都 可以 不要 到 上海 六月份
唉 我 那个 短信 上面 它 说 我 的 那个 什么 小卡小模 卡 呀 他 说 呃 帮 我 ipp 那个 什么 移动 那个 网站 看   一一 挺 好 一块钱 可以 用 五百 兆 流量   那 这个 卡 我 到 哪里 到 营业厅 可以 办理 吗
呃 我 想想 我 想 问 一下 我 原来 订购 的 十元 的 早晚 高峰 流量 包 我 想 取消 的话 怎么 办理   嗯 取消   嗯 密码
哎呀   我 刚才 那个 那个 就是说 说 那个 那个 什么 那个 积分 因为 这个 话费 是 怎么 兑换 的 呀   负责 一百 退 不是 是 吧
唉 你好 小姐 是 这样 我 这边 有 一个 你们 中国移动 跟 东方 有线 合作 的 机顶盒 啊 呃 我 现在 这边 可能 要换 一个 地址 然后 这边 应该 怎么 操作   对 对 对   呃 我 现在 移 到 那个 长宁区
那个 我 想 麻烦 问 一下 我们 自己 电话 里面 有 一个 手机号码 它 是 了解 他 想 换成 话 需要 什么 手续 到 的话   工商银行   这个 我 知道 了 噢 行好 的
您好 很 高兴 您好 很 高兴 为您服务 额 你好 呃 我 想 问 一下 我换 那个 就是 因为 发短信 跟 我 说 能 换 呃 积分 怎么 换   唉 不是 换换 换 流量   那 我 现在 有 一千多 你 是不是 能换 噢 就是 换 一次
我 我 上次 别人 办到 我 手机 有 问题 哎充 话费 你 说 我 没 打电话 都 但 我 没 你们 不是 卡里 我 可以 给 你 现在 回来   手机 我 意思 我 不是   怎么办 呢 噢 需要 什么样 的
喂   唉 你好 那个 对 我 刚 看到 短信 说 家庭 畅享 的 这个 业务 请问 到 这个 月 结束 了 那个 呃 我 这个 业务 如果 去 怎么办   什么 业务 啊 就是说 您 这个
唉 你好 我 请问 一下 就是 我 如果 想包 就是 家里 的 人 去 换 那个 sim 卡 那个 大 的 sim 卡 换成 iphonesim 卡 的话 那个 我 需要 带些 什么 东西   对 的   委托书 嗯 嗯 对 随 随便 写 的 还是 有 什么
喂喂 我 我 的 手机卡 丢 了 怎么办   就是 挂失 她 说 不 挂失 重新 补 一个月 还有 用 吗 可以 听到 如果 如果 我 不 挂失 重新 再 补 一张 另外 那个 卡 还有 用 吗   就是 如果说 我 不 挂失 的话 就是 呃 我 直接 就 补 一张 卡 另外 那个 卡 还有 用 吗 一直
唉 喂 你好 就 我 那个 宽带 想 退 就 退订 怎么弄 啊 就 快 到期 了 不想 续续定 了   好好 但是 什么   好要 去 营业厅 吗
小姐 我 想 我 那个 身份证 六 啊 的 流量   呃 我 我 怎么 申请 啊   哎租 生命 有 啊 那个 不是 啊
那个 我 想 问 一下 就是 我 手机号 那个 充 话费 充错 了 怎么办 那 我 之前 那个 手机号 是 没有   吗 嗯 对 是 全部 因为 我充 了 我 之前 那个 手机号 那个 手机号 已经 注销 了 不用 了   对 对 对 我 我 去 那个 营业厅 注销 的
你好 我 这个 手机 幺 三八 手机 没有 流量 了 我 觉得 两个 g 的 怎么 用 那么 快 呢 我 然后 我 再 您 是 增加 流量 怎么 弄法   呃 就 我 我 我 收到 短信 的 时候 就是 怎么 充 五十块 钱 然后 什么 怎么 交费 的 流量 是不是 又 有 这个 活动   那 这个 月 那 现在 能 增加 吗
喂 先生 你好 我 是 这样 的 我 想开 一下 那个 就是 有个 cmc 嗯 cm 我 那个 是 这个 如果 要 开通 的话 怎么 开 啊   就是 那个 我 是 要 那个 上网 吗 是 开 那个 cmcc 的 泽 呃 我 那个 子   一毛钱 一兆它 现在 没 活动 吗
唉 你好 先生 我 想 咨询 一下 这个 电信 的 宽带 可以 我们 移动 的 宽带 是 怎么 办理 的   可以 装 多少 兆   我们 是 上海市 宝山区 的
喂   那个 我 想 咨询 一下 一个 宽带 业务 是 这样 的 就是 我 在 这边 办 了 一个 每月 一年 的 然后 一个 套餐 的 业务 就是 我 现在 不想 用 了 想 把 它 取消 要 怎么 取消 这个 再见   对 对 对 协议 的
三点钟 到 后台 很 高兴   唉 你好 那个 我 想 问 一下 手机 积分 怎么 查 的   gf 就是 积分 是 吧
哎 你好 我 想 请问 一下 就是 我 的 那个 发票 怎么 就是 那个 呃 十一月份 十二月份 的 那个 那个 话费 的 那个 发票 怎么弄 啊   八五八 三六九   但是 那个 你 你 发 几月份 呢
喂 你好 我 那个 以前 用 了 你们 这边 的 一个 回来 我 现在 到期 了 我 想 把 它 呃 停掉 怎么 停 啊   那 以前 那个 有 一个 机顶盒 是 你们 的 吧   噢
我 那个 宽带 我 看看 是 怎么 办理 的   嘉定 大 北街 七十五 号 七十五 弄 四号   大 北京
喂 你好 我 想 问 一下 开通 那个 沟通 的 漫游 包是 怎么 开通 的   使用 产生 费用 喂 呃 这 是 怎么 收费 的 是 随时 停 随时 都 可以 开通 的 对 吧   好 的 那 我 现在 都 开通 现在 不行 好 的 然后 我 想 问 一下 然后 我 想 问 一下 他 那个 收费 什么 都 知道
唉 你好 我 想 把 我 一个 手机号 幺 八七 嗯 零 幺 七九 幺 幺 八 幺 呃 我 叫许 证明 啊 喂 这个 卡片 我 现在 找 不到 了 我 能 不能 暂时 先 一号 生效   什么 叫 服务 密码   这个 还 没有
喂 你好   我 想 问 一下 就是 中国移动 不是 有 什么 积分 兑 话费 吗   呃 那 是 我 回复 幺 零 九二 幺 为什么 说 什么 指令 不 对 呀 还有
噢 就是 我 那个 短信 那个 被 禁掉 了   呃 你 再说 一遍 怎么弄   噢 可以
哎 你好 我 想 问 一下 我 如果 这个 月 开通 一个 国际漫游 的话 呃 就 开开 一天 的话 是 怎么 操作   三十天 有效期 那 也就是说 三十天 以后 自动 关闭   十二月 十 十四号 左右 在 日本 的话 嗯 嗯 嗯 嗯
喂 你好 唉 我 想 问 一下 就是 我 不是 买 买好 那个 就是 副 卡小模 卡 然后 他 那个 钱 也 充 了 钱 进去 然后 他 不是 说 一块钱 五百 兆 流量 这是 怎么回事 啊 怎么 办理 的   呃 幺 八二零   幺 九 四五 幺 九八
哎 你好 我 想 问 一下 呃 之前 在 上海 办 的 那个 一个 人 的 身份证 不是 绑定 两个 手机号码   能 不能 现在 就是说 如果 取消 的话 是 怎么 取消 呢   不 确认 有没有 什么 办法 可以 办 吗
手机号码   喂 唉 你好 是 这 样子 那个 我 现在 想 开通 那个 好办 漫游 但是 我人 在 海外 我 不是 用本 机号码 拨通 你们 这个 电话 的 那 你 客服 那边 跟 我 讲 说 我 暂时 没 办法 帮 我 开通 我 想 问 一下 用 什么 途径 可以 帮 我 现在 开通 海外 漫游   什么 东西 报 一下
我要 你 这个 加 流量 怎么 加   嗯 嗯   有 多少 钱 的 吗
喂 你好 我 想 问 一下 喂   我 刚刚 收到 短信 你 这 我 下个月 就是 不送 五百五 百兆 流量 是 吧   噢 噢 噢 就是 下个月 就是 这个 五百 兆 还有 是 吧
唉 你好 我 这边 有 一个 公司 的 固定 电话 然后 想 办理 那个 噢 多方 通话 那个 业务 上次 应该 怎么 办理   好 这个 零二 幺   三 幺 五七
