喂您好 你帮我查一下我这个手机呃订了哪些套餐能看得出来吗 彩铃六块六块是什么东西啊 什么阅读 
呃你帮我查一下我现在这个套餐有没有闲时流量 对 呃不对啊前几天我已经有反映过这个问题了然后后面儿你们后台工作人员给我打电话说要帮我恢复因为不知道为什么帮我取就是帮我取消掉然后他说要帮我恢复噢因为 噢噢 
诶你帮我查一下我这手机开通了哪些套餐啊就扣费的 呃那你帮我流量包都关掉吧 嗯嗯好好好谢谢啊 用的 
哎你好麻烦你帮我查一下我这张卡有开通什么业务 这个套餐有八十八 跟 客服啊 
喂你好 诶请帮我看一下我这个手机号码的套餐是多少还有没有什么其他的业务 噢那我这个十八的套餐我能不能换成最低的八块的那个套餐 那你就换了八块的就改不回原来的十八的是吧 
诶喂你好帮我查一下那个本机是办的什么套餐啊 八十八的全球通啊那个都包含多少分钟那个通话了 流量现在流量了 才三百兆啊 
你好我想问一下我就是因为我这张号这个号码它那个流量套餐是怎么样的我当时好像是每每天一个g的是不是 是吧那为什么刚刚我收到一个短信什么我的套餐里面什么一百兆现在只剩噢已经使用三十五点几兆流量 三十五兆对对那一天一个g怎么会超啊 五六七 
啊你好你帮我看下我刚才刚才下载一个软件它里面那个病毒的那个有点播什么东西看一下 没有什么什么吗 那那好像那个短信又收了八条要不知道什么银行的 噢那就不会扣了 
哎你好刚才那个什么福州的一个电话说也是你们幺零零八六的我是想咨询一下它说什么我现在是三十八元套餐是吧 他说成功从下个月开始什么时候我有五十八元套餐然后连续四个月每个月返还二十块话费然后每个月有什么怎么计四百分钟的还是多少分钟的什么通话还有什么几g的流量 你你们就有有没这回事啊 他说每个月返还二十块钱嘛四个月然后四个月过后以后继续用那就扣不出去用就可以改回原来套餐 
啊那个你帮我查一下我这个手机有没有开通来电提醒要我 啊那个来电显示一个月是多少钱是三块钱是吧 两块 啊还有那个是跟你那那个来电提醒 
哎喂你好麻烦你帮我看一下本机号码现在还有哪一些套餐上次上个月我怎么超了那么多 啊麻烦你帮我查一下 那假如说正常没有超的话也就是嗯六十八就是有个四十二吧对不对 好像是招商啊 
喂你好 呃麻烦你帮我看下这个号我这个号码上面都有噢收费的项目 噢十元那个流量帮我取消掉吧 老套餐是哪个套餐 
嗯好 呃你好请问一下我这个号码是不是有那个有开通就是呃三十块钱好像是五百兆还是多少的流量的套餐 是已经收费了的吗 个我看一下 
您好请讲你帮我看一下我里面除了一个套餐还有哪些增值业务 哎好 呃 呃行嗯刚才说了那你看了它开 
就是我上个月的那个九月份的电话费好像是有二十块钱的什么网络那个移动网络的费用有什么业务稍等一下你帮我查一下他是说先扣了下个月返还给我吗还是说 二十块钱 没有其他优惠返还 返还呢对 
那能不能帮我查一下我这个号码它是不是有一个什么我夜间流量包啊 它那个是什么时候失效啊 你好你帮我取消掉吧 那你看一下我这个还有一些除了套餐是除了这个套餐是基本套餐之外啊还有一些什么其他的一些资费啊 
您好请讲二六诶你好帮我查询一下我这张卡办理的业务套餐 我那我手手机阅读是什么什么 有那个那个帮我取消掉 了有嗯好就是 
还有 帮我查询一下我这张卡办理什么套餐或者业务 嗯嗯 噢那还那那一一百三十八那个是这有有充话话费还是什么有送那个一百三十分钟 
诶你好是这样的我想那个呃我想查一下我这个电话的话是不是有开通那个免打功能 噢 那你帮我那个就是取消一下吧 密码服务密码嘛那个一二三三 
诶你帮我查一下我这个这个套餐是不是到期 哪里怎么一百八十九年 什么意思 不是什么时候参加了 
哎你好我想问一下我现在订的是什么套餐呢 噢然后呢外地呢 噢噢 只限厦门地区应该是一个g是吗 
哦 话费不好意思喂你好我想请问一下那个就是我不是转归属地嘛然后整个世界城不是都会有就是它会有一个携带的套餐那我我那边转的时候是什么套餐啊你查得到吗 我可以在上面的叠加套餐吗 比如说这个是十八的吗呃然后我想要我想要别人我想我想要弄弄就是弄的那个什么我说我说我说我信息嗯 
哎你好我是手机有没有开通港澳游啊 噢北 之前还不对对对对好谢谢 有开是吗 
哎你好诶我问一下我这个手机有什么叫什么呢集团什么通话记录那个什么被七百分钟什么意思啊稍等一下我帮您看一下噢麻烦你这些什么东西一个月什么七七八八那些都不要我这个这个电话费是这个月都好像超过 啊麻烦你谢谢 噢没收费的那还有没什么东西 原来我那个套餐是多少钱的 
喂你好恩你好呃我我这个手机是不是有开通那个家庭号 那我现在要把它关掉 对是要关掉是让现在就关掉了 要下个月才生效吗 
哎你好我这个手机里面有个家庭的套餐你帮我查一下是不是有 别人邀请我的 噢不是我不是我这边的 那我这边不收费吧 
你好 帮我查一下我这个月什么时候申请的套餐是十八元的怎么现在我扣了二十都十二块多啊 我这个两分两分钟那么打扰你块八 啊联通电话的收费它是五十块钱可以另外打了 
您好很高兴为您服务你好我想问一下我的手机的套餐是多少 好 噢好那我想问一下嗯移动套餐最低是多少 噢那这个可以改成八块钱的吗可以啊我现在帮我看一下噢好 
那个那个就是还有我这个就是每个月要交三十八块然后还有十块钱的那个夜间流量套餐对吧 然后我就想取消那个每个月的十元的那个流量夜间流量也可以帮我取消掉然后就是下个月使用三十那就帮您 噢就说十一月就没有这个十块钱只要每个月交三十八块的吗 噢那好的那没事了谢谢你 
哎你好我想问一下我这张卡除了月租以外还有其他噢要花钱的项目啊 噢 有没有来电提醒的吗 噢那那就来电提醒那就除了月租以外其他这些都不要 
呃您好 呃帮我查一下我这张卡套餐是怎么样的 然后看套餐费是多少钱呐 噢嗯这个月就三十九嗯然后这个它这个流量有没有限制这个只能在本地用 
幺五八 诶那个你好麻烦你帮我查一下我的手机开通什么业务吧 你上次不是等到十月一号吗 那我上次不是查他如果到十月一号吗 
帮我查一下我肯定有没有开通什么业务 好谢谢 呃 知道 
喂你好诶我现在你查这个号码现在是用什么套餐 好好好好 十八块里面包括什么东西呢 一百分钟免费是吧 
喂你好 哎我我想问一下那个七月份啊七月份 找手机有八十几块然后九月份你五十几块帮我看一下这边是属于通话还是什么的 因为对我们只要十 
你帮我查一下我那个上网的流量是会什么套餐呢 哎另外加二十块钱那个 呃还有其他什么业务啊 噢那好谢谢啊 
你好嗯请帮我看一下我这我这手机上面的我还有什么诶有几个什么套餐 恩对还有些赠送的还是需要泉州 彩印是什么东西啊 噢这个帮我删掉 
呃我想请问一下这个本机号码呃除了基本的这个套餐还有没其他收费项目了有一个两块钱的来电提醒呃其他没有了其他没有呃那这个话费怎么扣的这么厉害就就就基本六十八块钱加两块那就二十块钱一个月啊 噢那我前天刚交了今天又欠费掉了 噢那这个信息可能不可能是往来这个吗也才欠费欠了五百多 是上个月了 
诶你好呃麻烦你帮我查询一下我这这个这个这个号码这两个月都有有有一个叫做流量那个那个代付的帮他人代付的这个东西你帮我查一下 代他人付费就是我另外一个数据卡了 对那我为什么这个卡我要要要支付费用了 对绑定对绑定是反正但是短信他刚说的算的为什么说要每个月都产生这个费用呢 
哎你好我本机什么套餐 嗯然后打电话呢 嗯然后没有接听呢 一百三十分钟超过了 
噢对对那我呃一般消费多少可以 四四分钟啊剩下二百九十多的套餐当月 就那怎么样 对啊那上个月是我要分钟数更多了 
哎你好你好你帮我查帮我看一下我这个手机除了套餐以外的还有订有什么东西没有啊好的请稍等我查询一下好谢谢 嗯那你帮我取消吧 好谢谢嗯我问一下他这个月的这个就是这个月租是多少的 月租是十八块啊就是套餐十八块嗯嗯那你除了套餐以外的东西都帮我取消吧 
呃喂我想查一下这个卡里面有没有订什么东西啊 嗯 那有没有 含夜间流量包是吗 
你好请问你一下我这个号码里面有什么功能医院 呃只有就是那个三十八 嗯那你们那边那些功能我都不要我只要那个来电提醒你吃饭你给我把它关掉 哎那个那个彩铃啊现我都不要你就给我元那个来电提醒就算了噢其他的套餐呃套餐就可以了 
你好麻烦你帮我查一下我现在这个手机的是用什么套餐的 那还有其他费用吗 嗯嗯 那我现在每个月就是呃套餐八块有包括来电显示这些吗 
喂你好我这号码是不是刚刚受理了一个三十八块钱的套餐 呃我我想取消掉我不想要这个套餐 对打回原来十二块的那个套餐 噢我恢复原套餐嗯 
嗯 喂你好你帮我查一下我这台手机那个什么套餐 三十八套餐是吧 这是什么的我上次它好像他一直一直套餐二十八兆 
哎你好麻烦帮我查一下这个手机到现在都有什么业务 嗯 它这些就是除了来电显示做其他的能取消吗 嗯那你帮我预约一下等到它是参加活动好像是说是三个月之后是吧 
我这台机有收一个那个什么呃宽带的 喂 我现在但是一二八的套餐是不是 噢他以前他前前几天有什么生意三八嘛然后说要送那个什么给接电话的吧 
嗯嗯 是六百那个呃帮我看一下什么套餐 帮我改新飞享三十八 一点五g它是有一百分钟全国两百分钟本地一百兆全国跟剩下这个是省内你这边改吧好的好的 
