你好请讲其他 喂您好 先生嗯请讲 你帮我查一下我这个手机呃订了哪些套餐能看得出来吗 
您好请说 我我你帮我查一下看下有没有包开通那个四小时五百兆的那个流量 恩对有啊 已经开通了是吗 
幺您好请说 呃您好我想查一下我这个手机是不是有办理那个家庭网 呃我帮您查询稍等一下 好好 
您好很高兴服务您好您好请说 哎你好我的那手机里面都开通了什么 嗯您稍等一下马上查询呃目前查询一下您现在基本套餐是我们三十八块钱飞享套餐还有个您之前的话有开通一个是二十四元的视频流量包是那个咪咕视频的这个是到明年的九月一号结束然后还有一个是那个来电提醒其他的没有什么业务了 我比如说 
您好请讲 诶喂您好高兴为您服务你帮我看下我这手机是不是有个两城一家的套餐啊 是的 噢那你帮我取消掉一下吧噢 
您好请讲 诶喂你好我想咨询一下我这个是现在是什么套餐了 好我看一下哈订您套餐是八十八的另外还有个流量包还有一个短信套餐来电提醒什么的 我是八十八的嘛后来一个月怎么扣一百多块 
你好请说 喂您好帮我查一个手机套餐的话是 立即关掉好吧我就听不懂听得不是很清楚 喂 
嗯您好 诶你你好帮我查一下我现在这个电话号码用什么套餐 现在是八块钱的套餐三十分钟通话跟来电显示 八十八元的套餐是吗 
您好请问什么可以帮助您 你好我想问一下我这个手机号码有什么服务密码初始密码是多少 呃要自己设置我看一下噢您现在在福建省内吗 对啊 
你好有什么可以帮您请说 我已那个移动通信的那个是什么那个话费是哪里来的 呃那就是要看流量方面的使用情况哈您这个使用情况上个月超了二十一块钱的流量费 噢那是流量都没那边超出那边出来呀 
您好请说 呃你帮我查一下我现在这个套餐有没有闲时流量 本机是吧我看一下哈嗯您好我帮您查了一下您说的是夜间的那个闲时流量吗 对 
您好 诶你帮我查一下我这手机开通了哪些套餐啊就扣费的 嗯嗯好的目前您的月租费每个月一百二十八块钱还有个流量包三十流量包三个啊 呃那你帮我流量包都关掉吧 
哎你好麻烦你帮我查一下我这张卡有开通什么业务 好的您稍等 这个套餐有八十八 有开通的是一个家庭宽带其他的话帮您查询了一下还有加入是永安的一个是那个郑永定的政府网 
嗯您好高兴您服务 喂你好 您好 诶请帮我看一下我这个手机号码的套餐是多少还有没有什么其他的业务 
你好请讲 诶喂你好帮我查一下那个本机是办的什么套餐啊 是八十八的全球通 八十八的全球通啊那个都包含多少分钟那个通话了 
哎你好 你好我想问一下我就是因为我这张号这个号码它那个流量套餐是怎么样的我当时好像是每每天一个g的是不是 呃一天一块钱一个g的本地流量 是吧那为什么刚刚我收到一个短信什么我的套餐里面什么一百兆现在只剩噢已经使用三十五点几兆流量 
您好请讲 啊你好你帮我看下我刚才刚才下载一个软件它里面那个病毒的那个有点播什么东西看一下 我看一下没有点播什么 没有什么什么吗 
呃您好什么帮到您 哎你好刚才那个什么福州的一个电话说也是你们幺零零八六的我是想咨询一下它说什么我现在是三十八元套餐是吧 嗯 他说成功从下个月开始什么时候我有五十八元套餐然后连续四个月每个月返还二十块话费然后每个月有什么怎么计四百分钟的还是多少分钟的什么通话还有什么几g的流量 
您好请讲 啊那个你帮我查一下我这个手机有没有开通来电提醒要我 请稍等这号码没有开来电提醒 啊那个来电显示一个月是多少钱是三块钱是吧 
您好请说 哎喂你好麻烦你帮我看一下本机号码现在还有哪一些套餐上次上个月我怎么超了那么多 我看一下 啊麻烦你帮我查一下 
您好请说 喂你好 您好 呃麻烦你帮我看下这个号我这个号码上面都有噢收费的项目 
嗯好 您好请讲 呃你好请问一下我这个号码是不是有那个有开通就是呃三十块钱好像是五百兆还是多少的流量的套餐 嗯是这个是您之前参与活动到十二月份才到期可以帮您设定一下到期之后帮您自动关掉 
您好请讲你帮我看一下我里面除了一个套餐还有哪些增值业务 呃有哪些增值业务是吧 哎好 我马上帮您查看一下哈 
您好请说哎我想你帮我查一下为什么 就是我上个月的那个九月份的电话费好像是有二十块钱的什么网络那个移动网络的费用有什么业务稍等一下你帮我查一下他是说先扣了下个月返还给我吗还是说 九块钱的 二十块钱 
您好有什么可以帮您 那能不能帮我查一下我这个号码它是不是有一个什么我夜间流量包啊 嗯对您有开通一个十元一g的夜间流量包 它那个是什么时候失效啊 
您好请讲二六诶你好帮我查询一下我这张卡办理的业务套餐 最近一两天呀稍等一下有点能不能不能不会就是八十八从下个月更改为一百三十八的另外有开通一个三十元五百兆流量跟来电显示两款还有一个阅读跟彩铃密码彩铃有何信息 我那我手手机阅读是什么什么 对一个是和阅读神州是阅读包 
您好请说 还有 喂你好您好电话已接通请讲喂你好请问一下噢 帮我查询一下我这张卡办理什么套餐或者业务 
你好 诶你好是这样的我想那个呃我想查一下我这个电话的话是不是有开通那个免打功能 呃稍等一下噢 噢 
您好请讲 诶你帮我查一下我这个这个套餐是不是到期 稍等呃您这个保底的话到明一九年二月一号啊 哪里怎么一百八十九年 
嗯您好您请说啊 哎你好我想问一下我现在订的是什么套餐呢 噢好的本机这边办的是呃一百三十八元套餐就说在这个厦门市使用流量不限的 噢然后呢外地呢 
哦 您好请讲 话费不好意思喂你好我想请问一下那个就是我不是转归属地嘛然后整个世界城不是都会有就是它会有一个携带的套餐那我我那边转的时候是什么套餐啊你查得到吗 我看一下它是办成那个十八块的这个飞享套餐一百分钟一百兆流量的 
您好请讲 哎你好我是手机有没有开通港澳游啊 好您稍等帮您看一下哈 噢北 
您好请讲 哎你好诶我问一下我这个手机有什么叫什么呢集团什么通话记录那个什么被七百分钟什么意思啊稍等一下我帮您看一下噢麻烦你这些什么东西一个月什么七七八八那些都不要我这个这个电话费是这个月都好像超过 嗯嗯好的请稍等 啊麻烦你谢谢 
再见您好请讲 喂你好恩你好呃我我这个手机是不是有开通那个家庭号 嗯嗯对本机有办 那我现在要把它关掉 
早上好请说 哎你好我这个手机里面有个家庭的套餐你帮我查一下是不是有 家庭网是别人邀请您的 别人邀请我的 
你好 你好 你好 帮我查一下我这个月什么时候申请的套餐是十八元的怎么现在我扣了二十都十二块多啊 
您好很高兴为您服务你好我想问一下我的手机的套餐是多少 请稍等我帮您查看一下 好 十八块钱的有一百分钟莆田打国内电话分钟数一百兆流量和来电显示功能 
您好很高兴为您服务您好 那个那个就是还有我这个就是每个月要交三十八块然后还有十块钱的那个夜间流量套餐对吧 是的呀要帮您取消吗 然后我就想取消那个每个月的十元的那个流量夜间流量也可以帮我取消掉然后就是下个月使用三十那就帮您 
你好请讲 哎你好我想问一下我这张卡除了月租以外还有其他噢要花钱的项目啊 我帮您查一下您稍等一下 噢 
行哼您好很高兴为您服务 呃您好 诶您好 呃帮我查一下我这张卡套餐是怎么样的 
嗯嗯您好很高兴为您服务 幺五八 您好 诶那个你好麻烦你帮我查一下我的手机开通什么业务吧 
拜拜你好请说对你好你好哎你好女士嗯我想你 帮我查一下我肯定有没有开通什么业务 好的您稍等一下 好谢谢 
沙沟您好请讲 喂你好诶我现在你查这个号码现在是用什么套餐 呃现在是十八块钱套餐 好好好好 
您好请讲嗯嗯 喂你好 您好 哎我我想问一下那个七月份啊七月份 
您好很高兴为您服务 你帮我查一下我那个上网的流量是会什么套餐呢 您是用的叫超级流量王套餐就是一天一块钱一天有就是一个g的本地流量还另外加了一个二十块钱三百兆的流量包 哎另外加二十块钱那个 
您好请说 你好嗯请帮我看一下我这我这手机上面的我还有什么诶有几个什么套餐 您这手机除了您幺三八的套餐还有一个来电提醒剩下的话您就彩印手机会员彩印 恩对还有些赠送的还是需要泉州 
您好请讲您好二月一号 呃我想请问一下这个本机号码呃除了基本的这个套餐还有没其他收费项目了有一个两块钱的来电提醒呃其他没有了其他没有呃那这个话费怎么扣的这么厉害就就就基本六十八块钱加两块那就二十块钱一个月啊 您九月份也就扣了二十元十月份也是扣二十啊没有很厉害呀 噢那我前天刚交了今天又欠费掉了 
您好请讲 诶你好呃麻烦你帮我查询一下我这这个这个这个号码这两个月都有有有一个叫做流量那个那个代付的帮他人代付的这个东西你帮我查一下 我看一下噢 代他人付费就是我另外一个数据卡了 
天嗯您好高兴您服务 哎你好我本机什么套餐 噢神州行套餐月租二十块 嗯然后打电话呢 
您好先生呃帮我看一下我现在用什么套餐啊嗯帮您看一下稍等一下帮您看这是那种大众卡套餐月租十块钱的套餐 噢对对那我呃一般消费多少可以 那我帮您看您消费多少月租十块钱打电话保底十块钱我帮您看您最近这几个月消费多少嗯现在是属于那个呃十月份我帮您看您九月份消费五十一块八毛五十一块八毛四还有十三块两毛 四四分钟啊剩下二百九十多的套餐当月 
